"USAF","date","admin_lvl1_name","country_iso2_id","country_name","admin_lvl1_id","period_date","dengue_total_cases","LAT","LON","ELEV(M)","wban","yearmoda","temp","dewp","slp","stp","visib","wdsp","mxspd","gust","max","min","prcp","sndp","frshtt"
NA,2010-11-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20101101,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"matale","LKA","Sri Lanka","LK.MT",20101101,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"matara","LKA","Sri Lanka","LK.MH",20101101,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"moneragala","LKA","Sri Lanka","LK.MJ",20101101,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"mulativu","LKA","Sri Lanka","LK.MP",20101101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20101101,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"trincomalee","LKA","Sri Lanka","LK.TC",20101101,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"ampara","LKA","Sri Lanka","LK.AP",20101201,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"gampaha","LKA","Sri Lanka","LK.GQ",20101201,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"kalutara","LKA","Sri Lanka","LK.KT",20101201,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"kegalle","LKA","Sri Lanka","LK.KE",20101201,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20101201,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"matale","LKA","Sri Lanka","LK.MT",20101201,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"matara","LKA","Sri Lanka","LK.MH",20101201,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"moneragala","LKA","Sri Lanka","LK.MJ",20101201,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"mulativu","LKA","Sri Lanka","LK.MP",20101201,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20101201,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-12-01,"trincomalee","LKA","Sri Lanka","LK.TC",20101201,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
